series,"04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025"
United States Offenses,580,655,690,721,622,571,546,540,528,457,531,559,557,570,641,762,628,706,654,871,549,640,850,731,672,755,769,723,769,756,741,661,550,567,569,697,631,781,718,796,854,752,797,658,680,582,572,754,751,811,832,816,901,856,849,683,729,676,724,701,594,905,2628,1387,1282,1088,1209,996,720,827,724,1058,1159,1244,1338,1091,1124,1118,1131,931,901,866,1050,1086,1041,1405,1377,1280,1165,1174,1204,1039,970,963,962,1045,1076,1168,1275,1080,1142,1116,1512,1463,1182,,,,,,,,,,,,,,,,
United States Incidents,512,558,562,592,542,481,468,462,456,382,384,495,489,493,541,613,522,535,567,758,491,554,584,651,570,660,654,615,683,646,641,587,483,486,496,551,553,651,632,661,646,636,691,583,587,514,489,664,645,713,683,705,723,723,743,629,643,594,618,620,497,742,1444,1122,1050,949,958,750,619,732,631,924,1028,1083,1127,966,958,967,1009,825,799,737,934,964,918,1192,1192,1085,1016,1025,1043,911,867,824,813,910,937,987,1069,913,955,972,1304,1255,1035,,,,,,,,,,,,,,,,
