series,"04-2015","05-2015","06-2015","07-2015","08-2015","09-2015","10-2015","11-2015","12-2015","01-2016","02-2016","03-2016","04-2016","05-2016","06-2016","07-2016","08-2016","09-2016","10-2016","11-2016","12-2016","01-2017","02-2017","03-2017","04-2017","05-2017","06-2017","07-2017","08-2017","09-2017","10-2017","11-2017","12-2017","01-2018","02-2018","03-2018","04-2018","05-2018","06-2018","07-2018","08-2018","09-2018","10-2018","11-2018","12-2018","01-2019","02-2019","03-2019","04-2019","05-2019","06-2019","07-2019","08-2019","09-2019","10-2019","11-2019","12-2019","01-2020","02-2020","03-2020","04-2020","05-2020","06-2020","07-2020","08-2020","09-2020","10-2020","11-2020","12-2020","01-2021","02-2021","03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025"
United States,1077,1297,1432,1368,1353,1332,1253,1234,2176,1204,1018,1198,1269,1368,1611,1501,1495,1385,1445,1408,2221,1402,1128,1194,1258,1350,1401,1503,1395,1327,1414,1752,2342,1301,1071,1163,1236,1287,1362,1395,1323,1277,1212,1206,3006,1209,1079,1157,1157,1354,1343,1342,1320,1274,1233,1194,3032,1357,1129,1341,1394,1629,1838,1968,1880,1767,1914,1753,3594,1347,1147,1184,1307,1528,1476,1674,1520,1573,1620,1459,2044,1662,1474,1659,1717,1946,1853,2073,1891,1676,1778,1529,2513,1644,1367,1533,1572,1668,1670,1830,1614,1539,1567,1403,2075,,,,,,,,,,,,,,,,
United States Clearances,670,696,800,765,715,727,754,688,1311,698,653,662,772,813,866,706,792,711,748,743,1343,782,723,772,687,809,811,824,794,750,780,760,1395,806,664,750,740,743,742,743,737,678,705,671,1500,695,656,680,705,763,728,714,752,642,714,654,1506,826,672,741,854,874,857,966,925,869,954,835,1757,668,657,738,724,746,756,812,754,785,797,740,731,849,833,1000,877,989,963,998,1053,879,860,834,1146,996,860,980,879,936,927,987,917,894,890,846,959,,,,,,,,,,,,,,,,
